index,User,Merchant Name,Amount,Is Fraud?,Datetime_As_Float
13521,1006,6419,68.78,1,8379.575
13525,1006,4296,3.87,1,8380.81388888889
13526,1006,17405,65.22,1,8380.875
16093,1006,15798,10.84,1,9264.644444444444
16095,1006,3135,8.19,1,9264.753472222224
16110,1006,19103,64.01,1,9267.53263888889
16111,1006,8351,152.73,1,9268.822916666666
16138,1006,6869,160.0,1,9279.556944444445
16139,1006,6869,73.37,1,9280.670833333334
16141,1006,21830,98.52,1,9280.611111111111
16148,1006,13965,543.66,1,9282.725
30486,1008,12509,375.88,1,7995.439583333334
30488,1008,1153,32.53,1,7996.55625
30489,1008,4296,102.75,1,7997.41875
30490,1008,9706,274.44,1,7997.55625
30491,1008,18787,31.11,1,7997.567361111111
30492,1008,11993,58.11,1,7997.571527777778
30493,1008,4296,114.83,1,7998.663888888889
30963,1008,18803,70.28,1,8376.421527777778
30964,1008,20972,320.67,1,8376.428472222222
32320,1008,12274,48.22,1,8201.427083333334
32321,1008,4296,123.69,1,8201.434027777777
39652,1008,864,370.32,1,8320.49375
39653,1008,12274,61.12,1,8320.527777777777
39654,1008,1363,41.42,1,8320.59861111111
39655,1008,4296,82.3,1,8320.611805555556
41158,1008,5591,59.7,1,8330.4625
41159,1008,17266,99.13,1,8330.525694444445
41160,1008,1886,546.79,1,8330.604861111111
42093,1008,358,29.33,1,9505.653472222222
42101,1008,13965,1111.01,1,9511.614583333334
42102,1008,6647,1.17,1,9512.624305555555
42104,1008,1886,43.88,1,9512.544444444444
42106,1008,12435,0.92,1,9513.71875
42685,1008,7668,175.45,1,5482.315277777778
42686,1008,14719,89.64,1,5482.352083333333
42687,1008,18696,215.7,1,5482.468055555555
42688,1008,11325,1.24,1,5482.469444444445
54410,1009,17767,0.94,1,8892.819444444445
54412,1009,21830,9.04,1,8893.490972222222
54413,1009,1886,149.78,1,8893.522916666667
54414,1009,15192,18.47,1,8894.636805555556
54415,1009,13965,63.06,1,8894.786805555555
54416,1009,10491,7.63,1,8894.52638888889
54417,1009,1886,121.22,1,8894.538194444445
54418,1009,21830,51.26,1,8895.734722222222
55964,1010,9146,7.37,1,2988.4256944444446
55981,1010,472,247.53,1,2992.376388888889
55987,1010,472,87.11,1,2994.325
55992,1010,9146,145.98,1,2995.7194444444444
56012,1010,5324,126.0,1,3002.4180555555554
56017,1010,14554,41.47,1,3002.525
56136,1010,10834,122.28,1,3041.366666666667
57470,1010,12274,66.68,1,3463.1291666666666
57471,1010,19154,88.34,1,3463.1305555555555
57472,1010,1509,121.94,1,3463.186111111111
57473,1010,1363,108.79,1,3463.1902777777777
57475,1010,149,82.82,1,3463.29375
57476,1010,2914,62.26,1,3463.414583333333
57487,1010,21463,149.66,1,3465.1652777777776
66455,1010,19482,181.15,1,5450.408333333334
66456,1010,2658,47.24,1,5451.634722222222
66457,1010,2914,307.85,1,5451.336111111111
66458,1010,15192,77.55,1,5451.347222222223
71282,1010,4296,113.37,1,5219.438888888889
71283,1010,3135,77.37,1,5219.455555555555
71284,1010,17393,55.7,1,5219.475
71285,1010,20572,83.63,1,5220.659722222223
71287,1010,6077,92.35,1,5220.345138888889
71567,1010,3135,51.96,1,5506.293055555556
71568,1010,18641,90.3,1,5506.3076388888885
71571,1010,6133,46.03,1,5507.320833333333
71572,1010,15770,114.0,1,5507.405555555555
71573,1010,1509,14.76,1,5507.454861111111
71574,1010,2727,1.43,1,5507.455555555555
71575,1010,1495,39.8,1,5507.554166666667
71577,1010,6505,17.66,1,5508.645833333333
71579,1010,4296,152.13,1,5508.304166666667
71587,1010,15770,479.09,1,5513.115277777778
71588,1010,15770,-114.0,1,5513.123611111111
76213,1010,4296,198.4,1,5275.35
76214,1010,11252,232.14,1,5275.455555555555
76215,1010,15358,148.06,1,5275.488194444444
76216,1010,19919,4.19,1,5275.529166666666
76217,1010,4296,174.76,1,5276.655555555555
85740,1011,17888,12.49,1,8121.470138888889
85741,1011,4296,40.17,1,8121.470138888889
85742,1011,14636,374.0,1,8122.883333333333
85743,1011,5591,73.67,1,8123.463888888888
85747,1011,14636,-374.0,1,8124.576388888889
85748,1011,14636,328.3,1,8124.577083333334
86168,1011,19318,42.93,1,8477.451388888889
89154,1011,19103,89.97,1,9118.62638888889
89155,1011,2514,373.59,1,9118.777777777776
89159,1011,3135,0.33,1,9119.730555555556
89160,1011,3135,64.05,1,9119.75486111111
89161,1011,18641,98.06,1,9119.75625
89167,1011,814,48.0,1,9122.543055555556
89172,1011,12026,338.0,1,9125.688194444445
89174,1011,814,4.77,1,9126.731944444444
89175,1011,21830,5.01,1,9126.595833333333
89176,1011,358,0.41,1,9126.59861111111
89177,1011,21830,73.13,1,9127.759722222225
89178,1011,17767,89.3,1,9127.790972222225
89192,1011,12026,-338.0,1,9131.575
89193,1011,1886,337.02,1,9133.678472222222
89198,1011,10360,75.17,1,9136.571527777778
89199,1011,19103,4.32,1,9137.715277777776
91594,1011,3135,17.24,1,8211.49375
91595,1011,18187,147.48,1,8211.590277777777
91596,1011,1363,47.51,1,8212.676388888889
91597,1011,12261,290.0,1,8212.685416666667
91609,1011,12261,-290.0,1,8219.43888888889
91610,1011,12261,72.85,1,8219.449305555556
114906,1013,4296,8.11,1,8381.441666666668
114907,1013,5252,33.51,1,8381.485416666666
114908,1013,3135,122.64,1,8381.494444444445
123096,1013,12509,4.57,1,6102.292361111111
123098,1013,2514,53.56,1,6102.354861111111
123099,1013,8185,6.75,1,6102.4951388888885
123104,1013,5591,15.92,1,6104.304861111111
123105,1013,14548,95.55,1,6104.329166666666
123107,1013,17475,50.21,1,6104.391666666666
123109,1013,17393,20.28,1,6105.421527777778
123110,1013,9648,118.27,1,6105.4631944444445
124342,1013,2461,14.54,1,6848.550694444444
124344,1013,19154,23.44,1,6849.439583333334
124345,1013,19554,59.63,1,6849.445833333333
124348,1013,5479,149.0,1,6850.582638888889
124349,1013,12274,11.61,1,6851.70625
124350,1013,4296,5.14,1,6851.7125
124351,1013,2199,111.07,1,6851.7131944444445
142966,1014,17249,104.29,1,5282.570833333333
142970,1014,1509,1.58,1,5283.359722222222
142971,1014,18641,110.04,1,5283.543055555556
143955,1014,4296,140.17,1,5555.324305555556
143956,1014,4296,2.38,1,5555.334722222222
143957,1014,1886,72.38,1,5555.374305555555
143959,1014,7249,24.05,1,5555.465972222222
143960,1014,7249,62.75,1,5555.477083333333
150907,1014,14309,178.83,1,8166.511111111111
159684,1017,3645,258.62,1,7505.277083333333
159685,1017,6498,121.1,1,7505.426388888889
159686,1017,7228,380.0,1,7505.430555555556
159687,1017,17405,142.54,1,7506.6305555555555
159688,1017,8799,87.72,1,7506.639583333334
159689,1017,20248,212.0,1,7506.653472222222
159690,1017,11993,97.47,1,7506.686805555555
159692,1017,4898,282.69,1,7506.298611111111
159693,1017,20248,-212.0,1,7506.342361111111
159694,1017,20248,107.28,1,7506.34375
159696,1017,7228,-380.0,1,7509.272222222222
159697,1017,7228,58.72,1,7509.288888888889
160181,1017,13965,2.14,1,8211.611111111111
160182,1017,16211,326.96,1,8212.634722222223
160183,1017,11993,110.39,1,8212.660416666668
160785,1017,9307,9.66,1,9111.724305555555
160787,1017,17581,121.99,1,9111.550694444444
160789,1017,13607,52.56,1,9112.53611111111
160790,1017,17087,22.22,1,9112.5375
160791,1017,15798,102.98,1,9112.577777777778
160797,1017,10459,420.7,1,9119.475
160798,1017,3135,12.92,1,9120.822222222225
167522,1017,20767,517.23,1,8198.6375
168519,1017,12274,64.67,1,5548.611805555555
180903,1018,8351,1.85,1,9413.611111111111
180904,1018,10491,1.62,1,9414.622222222222
180918,1018,17767,103.91,1,9417.583333333334
180919,1018,13965,512.13,1,9418.690277777778
180923,1018,6869,59.62,1,9420.625694444445
180924,1018,6869,176.0,1,9420.642361111111
180925,1018,814,96.27,1,9420.706944444444
180933,1018,12435,9.33,1,9422.675
180939,1018,6869,-176.0,1,9427.5
185454,1019,21830,48.76,1,5223.293055555556
185455,1019,1886,34.56,1,5223.299305555555
185457,1019,21830,33.11,1,5223.452777777778
185458,1019,17266,206.37,1,5223.456944444444
185459,1019,10154,186.0,1,5223.513194444445
185461,1019,10154,-186.0,1,5224.259027777778
185462,1019,10154,179.58,1,5224.265277777778
185467,1019,14122,108.61,1,5226.436111111111
185468,1019,2914,88.45,1,5226.461111111111
187107,1019,3135,22.91,1,6070.208333333333
187108,1019,8682,101.56,1,6070.2444444444445
187112,1019,2514,119.76,1,6070.425
187113,1019,19761,145.29,1,6070.481944444445
187115,1019,8565,236.27,1,6071.246527777777
187116,1019,17045,134.76,1,6071.253472222223
187118,1019,5917,24.55,1,6071.445833333333
187121,1019,747,276.99,1,6073.297222222222
187122,1019,4980,0.65,1,6073.359027777778
187126,1019,8029,44.01,1,6074.385416666667
189980,1019,4296,140.96,1,7412.482638888889
189981,1019,3732,18.57,1,7412.513194444445
189982,1019,18586,73.64,1,7412.5625
189984,1019,5225,91.09,1,7413.238194444444
189985,1019,2514,4.39,1,7413.269444444444
189989,1019,18641,79.69,1,7413.434722222222
200863,1019,4980,2.71,1,6890.470138888889
200866,1019,4296,196.43,1,6891.44375
200867,1019,4296,10.2,1,6892.629861111112
200868,1019,21830,14.99,1,6893.692361111112
202483,1019,8351,68.05,1,8931.628472222223
202485,1019,814,0.19,1,8934.831944444444
202487,1019,21830,38.1,1,8935.546527777778
202488,1019,6869,381.0,1,8936.752777777778
202489,1019,6869,3.61,1,8936.764583333334
202490,1019,21830,91.11,1,8937.756944444445
202491,1019,2828,137.62,1,8938.697222222223
202492,1019,6869,-381.0,1,8939.749305555555
202496,1019,17581,62.89,1,8943.603472222223
202497,1019,3448,613.64,1,8944.65
203341,1019,20572,98.7,1,7334.309027777777
203342,1019,2727,134.86,1,7334.345833333334
203343,1019,12274,96.91,1,7334.353472222222
203344,1019,4296,121.54,1,7334.438194444445
203345,1019,5591,119.36,1,7334.44375
203346,1019,4296,134.85,1,7334.475
203348,1019,11673,1291.38,1,7334.530555555555
203350,1019,2514,129.58,1,7335.440972222223
203351,1019,6231,87.2,1,7335.441666666667
203352,1019,3135,69.33,1,7335.531944444445
203353,1019,2658,54.73,1,7336.629861111111
203354,1019,1400,1322.3,1,7336.246527777777
203406,1019,3135,380.32,1,7421.261805555556
203407,1019,18641,0.35,1,7421.347222222223
203408,1019,20767,55.04,1,7421.352777777778
203409,1019,19562,5.43,1,7421.386805555556
203410,1019,12026,284.0,1,7421.561111111111
203411,1019,17821,70.38,1,7421.617361111111
203412,1019,21830,11.37,1,7422.246527777777
203413,1019,10882,248.63,1,7422.247916666666
203414,1019,20248,397.0,1,7422.331944444444
203416,1019,12026,405.12,1,7423.542361111111
203417,1019,12026,-284.0,1,7423.552777777778
203420,1019,20248,-397.0,1,7427.241666666667
203421,1019,20248,98.84,1,7427.245833333333
203674,1019,9049,207.91,1,7908.376388888889
203675,1019,8799,34.04,1,7908.390972222222
203676,1019,2461,137.49,1,7909.70625
203678,1019,16005,404.17,1,7910.4125
203679,1019,3135,76.49,1,7910.414583333333
203680,1019,9934,229.73,1,7910.461805555556
203681,1019,5876,132.21,1,7910.461805555556
203682,1019,21830,73.93,1,7910.488194444444
203683,1019,19372,114.27,1,7911.638194444445
203782,1019,19318,21.17,1,8104.461111111111
203783,1019,15890,170.77,1,8104.5125
203784,1019,2974,23.16,1,8104.543055555556
203785,1019,6770,81.76,1,8104.595138888889
203786,1019,13273,19.37,1,8104.605555555556
203787,1019,11079,41.22,1,8104.615277777778
203788,1019,16211,198.56,1,8105.642361111111
203789,1019,15044,226.0,1,8105.647916666667
203790,1019,15358,377.16,1,8105.659722222223
203791,1019,11993,270.26,1,8105.699305555556
203795,1019,15044,103.17,1,8113.653472222222
203796,1019,15044,-226.0,1,8113.659027777778
203862,1019,3503,400.03,1,8225.458333333334
203863,1019,2461,517.64,1,8225.541666666666
203864,1019,12274,117.94,1,8225.555555555555
216372,1020,10882,196.69,1,7313.259027777778
216373,1020,12274,120.89,1,7313.269444444444
216374,1020,19798,406.0,1,7313.358333333334
