index,User,Card,Use Chip
10600,1201,0,1
10602,1201,0,1
10603,1201,0,1
10604,1201,0,1
10605,1201,0,1
10606,1201,0,1
11239,1201,0,1
11240,1201,0,1
11241,1201,0,1
11242,1201,0,1
11243,1201,0,1
11244,1201,0,1
11246,1201,0,1
11247,1201,0,1
11253,1201,0,1
11254,1201,0,1
13847,1201,1,1
13848,1201,1,1
24300,1201,3,2
24301,1201,3,2
24302,1201,3,2
24303,1201,3,2
24304,1201,3,2
24308,1201,3,2
24309,1201,3,2
24929,1201,4,2
26458,1201,4,2
26460,1201,4,2
26793,1201,4,2
26794,1201,4,1
26795,1201,4,2
28312,1201,4,1
34951,1202,0,1
34952,1202,0,1
34956,1202,0,1
34957,1202,0,1
34958,1202,0,1
34959,1202,0,1
34960,1202,0,1
34961,1202,0,1
34962,1202,0,1
34964,1202,0,1
34969,1202,0,1
34970,1202,0,1
35421,1202,0,1
35422,1202,0,1
35426,1202,0,1
35427,1202,0,1
52842,1203,2,1
52843,1203,2,1
52844,1203,2,1
52845,1203,2,1
52846,1203,2,1
52847,1203,2,1
52848,1203,2,1
52851,1203,2,1
62904,1204,0,0
62916,1204,0,0
62927,1204,0,0
62931,1204,0,0
62950,1204,0,0
62976,1204,0,0
62979,1204,0,0
62980,1204,0,0
62982,1204,0,0
62989,1204,0,0
63007,1204,0,0
63010,1204,0,0
63013,1204,0,0
63030,1204,0,0
63042,1204,0,0
63043,1204,0,0
63047,1204,0,0
63048,1204,0,0
63060,1204,0,0
63073,1204,0,0
63080,1204,0,0
63082,1204,0,0
66550,1206,0,0
66551,1206,0,0
66553,1206,0,0
66555,1206,0,0
66557,1206,0,0
66558,1206,0,0
66559,1206,0,0
66560,1206,0,0
66561,1206,0,0
66563,1206,0,0
66565,1206,0,0
66567,1206,0,0
66570,1206,0,0
66571,1206,0,0
75641,1206,4,1
75642,1206,4,1
75644,1206,4,2
75645,1206,4,1
76627,1206,4,1
76628,1206,4,1
76629,1206,4,1
76630,1206,4,1
76631,1206,4,1
76632,1206,4,1
76633,1206,4,1
76634,1206,4,1
76636,1206,4,1
76637,1206,4,1
76638,1206,4,1
76639,1206,4,1
76640,1206,4,1
76644,1206,4,1
76645,1206,4,1
