index,Merchant Name,Merchant City,Merchant State,MCC
822,5623,5081,144,5815
823,19589,5081,144,5311
825,19589,5081,144,5311
826,17553,6450,55,5411
830,17976,2204,55,5411
831,4839,5273,55,5300
832,14465,5081,144,5310
17538,4371,5081,144,4829
17539,12427,5081,144,5651
17540,5623,5081,144,5815
27673,5572,1521,85,5411
27675,2923,5081,144,5311
46185,16961,6055,52,4121
46186,19030,6055,52,5812
46193,1941,6055,52,5311
46198,852,6055,52,5912
46214,10412,6055,52,5211
46215,17486,6055,52,5094
46224,21685,6055,52,5311
62352,6129,5081,144,5311
62354,10799,6812,95,5300
62355,18202,5081,144,5815
62356,12206,5081,144,5300
62357,16109,5081,144,5732
62358,10799,6812,95,5300
62359,3800,6812,95,5812
62360,15790,5081,144,7996
62361,9050,5081,144,3684
62362,6271,5081,144,4112
62364,9050,5081,144,3684
62366,9050,5081,144,3684
62367,9050,5081,144,3684
62370,20407,5081,144,5310
62371,8164,5081,144,5970
62372,4947,6812,95,8021
62376,11874,5081,144,5814
62377,12206,5081,144,5300
62379,9050,5081,144,3684
62380,9050,5081,144,3684
63104,12206,5081,144,5300
63105,5248,5850,56,8021
76943,2923,5081,144,5311
76945,731,6460,56,7922
76946,2923,5081,144,5311
76947,4272,5850,56,5411
79034,17133,5081,144,7922
79035,9050,5081,144,3684
79037,9050,5081,144,3684
79038,9050,5081,144,3684
80837,4371,5081,144,4829
80838,1190,5081,144,3771
80839,903,5081,144,5310
80840,19589,5081,144,5311
80841,5279,5081,144,7801
80844,21685,5081,144,5311
80846,9184,5081,144,3260
80848,1941,5081,144,5311
80849,6271,5081,144,4112
80850,1362,5081,144,5815
80862,1190,5081,144,3771
80863,1190,5081,144,3771
85415,11947,6055,52,3722
85430,21685,6055,52,5311
85432,3114,6055,52,7011
85436,16961,6055,52,4121
85437,11947,6055,52,3722
85438,21685,6055,52,5311
85439,16052,6055,52,3504
85440,16052,6055,52,3504
85442,3114,6055,52,7011
85454,13534,6055,52,5932
88142,12473,5081,144,5094
